run,dataset,signal,lhs,rhs,resid
rf_ecfp,CHEMBL236_Ki,d_pair,0.002119460500963344,0.002119460500963391,4.7271214720367993e-17
rf_ecfp,CHEMBL237_EC50,d_pair,0.01099476439790581,0.01099476439790576,5.0306980803327406e-17
rf_ecfp,CHEMBL237_Ki,d_pair,0.0009615384615384581,0.0009615384615384616,3.469446951953614e-18
rf_ecfp,CHEMBL239_EC50,d_pair,-0.0008720930232558599,-0.0008720930232558139,4.597017211338539e-17
rf_ecfp,CHEMBL244_Ki,d_pair,0.0030645161290322465,0.003064516129032258,1.1709383462843448e-17
rf_ecfp,CHEMBL264_Ki,d_pair,0.0013961605584642545,0.0013961605584642235,3.1008182133085427e-17
rf_ecfp,CHEMBL287_Ki,d_pair,0.0,0.0,0.0
rf_ecfp,CHEMBL3979_EC50,d_pair,-0.002666666666666706,-0.0026666666666666666,3.946495907847236e-17
rf_ecfp,CHEMBL204_Ki,rf_std,0.007622504537205033,0.007622504537205082,4.9439619065339e-17
rf_ecfp,CHEMBL214_Ki,rf_std,0.0016566265060240504,0.0016566265060240963,4.597017211338539e-17
rf_ecfp,CHEMBL219_Ki,rf_std,0.005630026809651412,0.005630026809651474,6.245004513516506e-17
rf_ecfp,CHEMBL228_Ki,rf_std,0.01759530791788866,0.017595307917888565,9.367506770274758e-17
rf_ecfp,CHEMBL233_Ki,rf_std,0.006677265500794949,0.006677265500794912,3.642919299551295e-17
rf_ecfp,CHEMBL234_Ki,rf_std,0.0030054644808742426,0.003005464480874317,7.45931094670027e-17
rf_ecfp,CHEMBL235_EC50,rf_std,0.00021276595744679216,0.0002127659574468085,1.634434775021898e-17
rf_ecfp,CHEMBL236_Ki,rf_std,0.0032755298651252485,0.0032755298651252407,7.806255641895632e-18
rf_ecfp,CHEMBL237_EC50,rf_std,0.020942408376963373,0.020942408376963352,2.0816681711721685e-17
rf_ecfp,CHEMBL237_Ki,rf_std,0.0028846153846153744,0.0028846153846153848,1.0408340855860843e-17
rf_ecfp,CHEMBL239_EC50,rf_std,-0.005232558139534826,-0.005232558139534884,5.724587470723463e-17
rf_ecfp,CHEMBL244_Ki,rf_std,0.003225806451612856,0.0032258064516129032,4.7271214720367993e-17
rf_ecfp,CHEMBL264_Ki,rf_std,-0.003141361256544517,-0.0031413612565445027,1.431146867680866e-17
rf_ecfp,CHEMBL287_Ki,rf_std,0.005660377358490565,0.005660377358490566,8.673617379884035e-19
rf_ecfp,CHEMBL3979_EC50,rf_std,-0.0004444444444444695,-0.00044444444444444447,2.5045070184415152e-17
rf_rdkit,CHEMBL204_Ki,d_wstd,0.009618874773139718,0.009618874773139746,2.7755575615628914e-17
rf_rdkit,CHEMBL214_Ki,d_wstd,0.005120481927710863,0.0051204819277108436,1.9081958235744878e-17
rf_rdkit,CHEMBL219_Ki,d_wstd,-0.0002680965147453529,-0.00026809651474530834,4.456070928915423e-17
rf_rdkit,CHEMBL228_Ki,d_wstd,0.009970674486803555,0.00997067448680352,3.469446951953614e-17
rf_rdkit,CHEMBL233_Ki,d_wstd,-0.0004769475357710995,-0.0004769475357710652,3.4314998759166215e-17
rf_rdkit,CHEMBL234_Ki,d_wstd,0.00396174863387988,0.003961748633879781,9.8879238130678e-17
rf_rdkit,CHEMBL235_EC50,d_wstd,0.009574468085106425,0.009574468085106383,4.163336342344337e-17
rf_rdkit,CHEMBL236_Ki,d_wstd,0.0025048169556840527,0.0025048169556840076,4.5102810375396984e-17
rf_rdkit,CHEMBL237_EC50,d_wstd,0.01308900523560208,0.013089005235602094,1.3877787807814457e-17
rf_rdkit,CHEMBL237_Ki,d_wstd,0.00019230769230771383,0.0001923076923076923,2.1521413123837263e-17
rf_rdkit,CHEMBL239_EC50,d_wstd,0.008430232558139572,0.008430232558139536,3.642919299551295e-17
rf_rdkit,CHEMBL244_Ki,d_wstd,0.005483870967741944,0.005483870967741935,8.673617379884035e-18
