dataset,method,tau_q,group,n,under_rate,over_rate,miscoverage,width
CHEMBL228_Ki,mondrian_rfstd,0.9,all,346,0.17630057803468208,0.0,0.17630057803468208,2.5434303928825197
CHEMBL228_Ki,mondrian_nb,0.5,cliff,36,0.4166666666666667,0.0,0.4166666666666667,2.1796731939742813
CHEMBL228_Ki,mondrian_nb,0.5,noncliff,1670,0.07245508982035928,0.003592814371257485,0.07604790419161676,2.428966048054984
CHEMBL228_Ki,mondrian_nb,0.5,all,1706,0.07971864009378664,0.0035169988276670576,0.08323563892145369,2.4237054720016986
CHEMBL228_Ki,mondrian_nb,0.75,cliff,17,0.7058823529411765,0.0,0.7058823529411765,2.3489932045929445
CHEMBL228_Ki,mondrian_nb,0.75,noncliff,845,0.12544378698224853,0.0,0.12544378698224853,2.351079674914228
CHEMBL228_Ki,mondrian_nb,0.75,all,862,0.1368909512761021,0.0,0.1368909512761021,2.351038526427614
CHEMBL228_Ki,mondrian_nb,0.9,cliff,7,0.5714285714285714,0.0,0.5714285714285714,2.0379628273263464
CHEMBL228_Ki,mondrian_nb,0.9,noncliff,339,0.1976401179941003,0.0,0.1976401179941003,2.3953345045953776
CHEMBL228_Ki,mondrian_nb,0.9,all,346,0.20520231213872833,0.0,0.20520231213872833,2.388104441760455
CHEMBL233_Ki,global,0.5,cliff,162,0.3148148148148148,0.018518518518518517,0.3333333333333333,2.5241871803892604
CHEMBL233_Ki,global,0.5,noncliff,2984,0.0871313672922252,0.00435656836461126,0.09148793565683647,2.520339984430444
CHEMBL233_Ki,global,0.5,all,3146,0.09885568976478068,0.0050858232676414495,0.10394151303242212,2.5205380917875093
CHEMBL233_Ki,global,0.75,cliff,93,0.45161290322580644,0.0,0.45161290322580644,2.5293469352794884
CHEMBL233_Ki,global,0.75,noncliff,1482,0.1545209176788124,0.0,0.1545209176788124,2.519537515032862
CHEMBL233_Ki,global,0.75,all,1575,0.17206349206349206,0.0,0.17206349206349206,2.520116737942663
CHEMBL233_Ki,global,0.9,cliff,48,0.5416666666666666,0.0,0.5416666666666666,2.520775856422979
CHEMBL233_Ki,global,0.9,noncliff,587,0.2010221465076661,0.0,0.2010221465076661,2.521374934151498
CHEMBL233_Ki,global,0.9,all,635,0.22677165354330708,0.0,0.22677165354330708,2.5213296495357995
CHEMBL233_Ki,mondrian_wstd,0.5,cliff,162,0.29012345679012347,0.012345679012345678,0.30246913580246915,2.6744930827370155
CHEMBL233_Ki,mondrian_wstd,0.5,noncliff,2984,0.08813672922252011,0.00435656836461126,0.09249329758713137,2.5171320105042465
CHEMBL233_Ki,mondrian_wstd,0.5,all,3146,0.09853782581055308,0.004767959313413859,0.10330578512396695,2.5252351553553933
CHEMBL233_Ki,mondrian_wstd,0.75,cliff,93,0.3548387096774194,0.0,0.3548387096774194,2.680196855043964
CHEMBL233_Ki,mondrian_wstd,0.75,noncliff,1482,0.150472334682861,0.0,0.150472334682861,2.562745489299648
CHEMBL233_Ki,mondrian_wstd,0.75,all,1575,0.16253968253968254,0.0,0.16253968253968254,2.56968071280074
CHEMBL233_Ki,mondrian_wstd,0.9,cliff,48,0.4375,0.0,0.4375,2.676418380943094
