dataset,seed,k,auc_fail,auc_cliffB,misalign,d_cov_cliffB_pp,d_cov_cliffA_pp,cov_cliffB,cov_cliffA,n_cliffB,n_cliffA
CHEMBL228_Ki,86921808,25,0.6874681609780947,0.5093843843843844,0.17808377659371033,-12.5,-7.692307692307687,0.75,0.7692307692307693,8,13
CHEMBL228_Ki,86921808,50,0.7068262862964849,0.4692192192192192,0.2376070670772657,-12.5,-7.692307692307687,0.75,0.7692307692307693,8,13
CHEMBL228_Ki,86921808,100,0.7491934114450671,0.5807057057057057,0.16848770573936145,0.0,0.0,0.875,0.8461538461538461,8,13
CHEMBL228_Ki,86921808,200,0.7426557989471897,0.5521771771771772,0.1904786217700125,0.0,0.0,0.875,0.8461538461538461,8,13
CHEMBL228_Ki,89165191,2,0.546875,0.236318407960199,0.310556592039801,0.0,0.0,0.6666666666666666,0.8571428571428571,6,14
CHEMBL228_Ki,89165191,5,0.617870145631068,0.2736318407960199,0.34423830483504814,0.0,0.0,0.6666666666666666,0.8571428571428571,6,14
CHEMBL228_Ki,89165191,10,0.6454288025889967,0.481592039800995,0.1638367627880017,0.0,0.0,0.6666666666666666,0.8571428571428571,6,14
CHEMBL228_Ki,89165191,25,0.7660800970873787,0.4412935323383085,0.3247865647490702,0.0,0.0,0.6666666666666666,0.8571428571428571,6,14
CHEMBL228_Ki,89165191,50,0.7723503236245954,0.48855721393034823,0.2837931096942472,0.0,0.0,0.6666666666666666,0.8571428571428571,6,14
CHEMBL228_Ki,89165191,100,0.7442354368932039,0.4651741293532338,0.2790613075399701,-16.666666666666664,-7.14285714285714,0.5,0.7857142857142857,6,14
CHEMBL228_Ki,89165191,200,0.7629449838187702,0.4582089552238806,0.3047360285948896,-16.666666666666664,-7.14285714285714,0.5,0.7857142857142857,6,14
CHEMBL233_Ki,71339737,2,0.5945076194874163,0.5604897050639955,0.034017914423420725,6.666666666666677,3.6363636363636265,0.7666666666666667,0.8545454545454545,30,55
CHEMBL233_Ki,71339737,5,0.5985049642114985,0.5496939343350028,0.04881102987649566,-6.666666666666665,-7.272727272727275,0.6333333333333333,0.7454545454545455,30,55
CHEMBL233_Ki,71339737,10,0.6495324405449088,0.5368113522537563,0.11272108829115246,-16.666666666666664,-10.909090909090914,0.5333333333333333,0.7090909090909091,30,55
CHEMBL233_Ki,71339737,25,0.6493881320711152,0.5463828603227602,0.10300527174835505,-6.666666666666665,-5.454545454545457,0.6333333333333333,0.7636363636363637,30,55
CHEMBL233_Ki,71339737,50,0.6606441930270145,0.5385920979410128,0.12205209508600168,-13.33333333333333,-9.090909090909093,0.5666666666666667,0.7272727272727273,30,55
CHEMBL233_Ki,71339737,100,0.6749307319325791,0.5441569282136894,0.1307738037188897,-13.33333333333333,-10.909090909090914,0.5666666666666667,0.7090909090909091,30,55
CHEMBL233_Ki,71339737,200,0.6716693604248442,0.5420422927100723,0.12962706771477184,-9.999999999999998,-7.272727272727275,0.6,0.7454545454545455,30,55
CHEMBL233_Ki,99182118,2,0.6062146892655367,0.4720068906115418,0.1342077986539949,-11.11111111111111,-4.6875,0.48148148148148145,0.734375,27,64
CHEMBL233_Ki,99182118,5,0.584716027356527,0.4342008121077888,0.15051521524873812,-7.4074074074074066,-4.6875,0.5185185185185185,0.734375,27,64
CHEMBL233_Ki,99182118,10,0.6989295272078502,0.6165866863541282,0.08234284085372201,-3.703703703703698,-3.125,0.5555555555555556,0.75,27,64
CHEMBL233_Ki,99182118,25,0.6691347011596789,0.560661990894549,0.10847271026512983,-3.703703703703698,-10.9375,0.5555555555555556,0.671875,27,64
CHEMBL233_Ki,99182118,50,0.6965953018138566,0.5380214101144334,0.15857389169942326,-11.11111111111111,-10.9375,0.48148148148148145,0.671875,27,64
CHEMBL233_Ki,99182118,100,0.6936366339577758,0.5394979697305279,0.15413866422724787,0.0,-7.8125,0.5925925925925926,0.703125,27,64
CHEMBL233_Ki,99182118,200,0.7023193577163247,0.5434969853574505,0.1588223723588742,-3.703703703703698,-12.5,0.5555555555555556,0.65625,27,64
CHEMBL233_Ki,89709943,2,0.6017143010926315,0.477632296781233,0.12408200431139849,11.111111111111116,6.666666666666665,0.7777777777777778,0.8888888888888888,18,45
CHEMBL233_Ki,89709943,5,0.6414096560632973,0.6277959629023458,0.013613693160951401,5.555555555555558,2.2222222222222254,0.7222222222222222,0.8444444444444444,18,45
CHEMBL233_Ki,89709943,10,0.6647155390494645,0.5711038370612839,0.09361170198818058,0.0,-2.2222222222222143,0.6666666666666666,0.8,18,45
