dataset,seed,group_def,side,n,rf_std_mean,d_wstd_mean,d_std_mean,d_nb_mean,d_nn_sim_mean,d_pair_gap_mean
CHEMBL235_EC50,58055701,cliffA,cliff,37,0.709557897720147,0.8484225921623694,0.8507189235702383,23.89189189189189,0.8590669786728033,1.576623489295205
CHEMBL235_EC50,58055701,cliffA,noncliff,433,0.6478943562065715,0.5727366836537925,0.579216867445782,14.297921478060045,0.7946386367334944,0.7261389825374762
CHEMBL235_EC50,20237956,cliffB_oracle,cliff,22,0.8093500862309668,0.8256210408794719,0.8225567307831718,19.727272727272727,0.8803536230539912,1.5150492420594681
CHEMBL235_EC50,20237956,cliffB_oracle,noncliff,448,0.6295715520488155,0.5852478928163609,0.5911169975286281,14.28125,0.7857791181231378,0.7312885243364191
CHEMBL235_EC50,20237956,cliffA,cliff,33,0.7442929394499013,0.8386780215178511,0.8352655909463926,20.151515151515152,0.8785991642118558,1.6022406801990718
CHEMBL235_EC50,20237956,cliffA,noncliff,437,0.6299590165059584,0.5779611985278283,0.5840903874547271,14.11212814645309,0.7834511029277613,0.7049757432069903
CHEMBL235_EC50,27734996,cliffB_oracle,cliff,17,0.908918014314218,0.9895799014523241,0.992937301141577,16.294117647058822,0.877814684738999,1.660983596634729
CHEMBL235_EC50,27734996,cliffB_oracle,noncliff,453,0.6568390309174513,0.5896555854717087,0.5933871950576434,13.748344370860927,0.7878155425402369,0.6524668183076587
CHEMBL235_EC50,27734996,cliffA,cliff,30,0.8402770092081934,0.8693505625571567,0.8699480831223146,17.5,0.8709482715430842,1.4967444716071983
CHEMBL235_EC50,27734996,cliffA,noncliff,440,0.6540713113015941,0.5859443128822147,0.5898802607021347,13.590909090909092,0.7855684645619002,0.6338678538362359
CHEMBL239_EC50,71339737,cliffB_oracle,cliff,24,0.7995043549113947,0.9401987446662262,0.9350756711425904,22.75,0.8883477222725538,1.4166345457573284
CHEMBL239_EC50,71339737,cliffB_oracle,noncliff,320,0.7034915086474449,0.6261939748300539,0.6322418994720671,14.54375,0.7754452766855641,0.6368220377419456
CHEMBL239_EC50,71339737,cliffA,cliff,36,0.7418732995992975,0.9027545843606659,0.9043132217572867,22.416666666666668,0.881837525507168,1.2807202230729724
CHEMBL239_EC50,71339737,cliffA,noncliff,308,0.7064868457775363,0.6180729430614839,0.62376352000168,14.262987012987013,0.771685336204054,0.6223258218992579
CHEMBL239_EC50,99182118,cliffB_oracle,cliff,17,0.6885166705508381,0.7358853209255971,0.7366831050511106,20.529411764705884,0.886859927998679,1.1784441385218145
CHEMBL239_EC50,99182118,cliffB_oracle,noncliff,327,0.7175873206594384,0.6343513127809893,0.6379846467930554,14.73394495412844,0.7843487575311178,0.7033479915623286
CHEMBL239_EC50,99182118,cliffA,cliff,42,0.7168703074956545,0.7938370357576597,0.7983957029394992,21.357142857142858,0.8531625126588319,1.2831467654499407
CHEMBL239_EC50,99182118,cliffA,noncliff,302,0.7160506103979574,0.6173809297551809,0.6207171021931791,14.139072847682119,0.780432416857345,0.6494575478372675
CHEMBL239_EC50,89709943,cliffB_oracle,cliff,26,0.6880826261983514,0.7500601433718176,0.7508817030556684,21.73076923076923,0.8802440118128968,1.1560269296942773
CHEMBL239_EC50,89709943,cliffB_oracle,noncliff,318,0.669990885677371,0.597830476989378,0.6035666685032566,14.949685534591195,0.7797944322887151,0.8050440945285829
CHEMBL239_EC50,89709943,cliffA,cliff,36,0.6774410121285601,0.7534130051448926,0.757536342598061,21.833333333333332,0.8811821181967011,1.2435456797333433
CHEMBL239_EC50,89709943,cliffA,noncliff,308,0.6706473165257564,0.5928054190180956,0.598300628993272,14.717532467532468,0.7766292973591515,0.7834190836420137
