method,group_def,side,coverage_mean,coverage_sd,n_mean,k_sum,n_sum,width_mean,rmse_mean,ci_lo,ci_hi,dataset
global,defB_oracle,cliff,0.6390434316359773,0.0731293736152838,26.2,168,262,2.2470195442357266,1.1158157237160888,0.5814873354967,0.6968740620380308,CHEMBL214_Ki
global,defB_oracle,noncliff,0.9040770184382078,0.024190794833009052,637.8,5767,6378,2.247019544235726,0.6653753505447232,0.8967337288103169,0.911183552317626,CHEMBL214_Ki
global,defC_proxy,all,0.8938253012048193,0.025243068447338608,664.0,5935,6640,2.247019544235726,0.688725282807906,0.8861865308419167,0.9010086532117897,CHEMBL214_Ki
global,defC_proxy,cliff,0.771497113997114,0.1421010710576337,7.9,62,79,2.2470195442357266,0.9294344690450002,0.682128319163289,0.8610779526794132,CHEMBL214_Ki
global,defC_proxy,noncliff,0.8951441825233344,0.025334038758807974,656.1,5873,6561,2.2470195442357266,0.6850782680516418,0.8874918852772368,0.9023215523394931,CHEMBL214_Ki
knn_weighted,defA,all,0.8873493975903614,0.023936888466161634,664.0,5892,6640,2.1939739807381415,0.688725282807906,0.8795197024342385,0.8947311631053916,CHEMBL214_Ki
knn_weighted,defA,cliff,0.7407737676532296,0.0553708062083998,48.8,361,488,2.2571813482913723,0.9704354730600544,0.6990596165955208,0.7767034485211738,CHEMBL214_Ki
knn_weighted,defA,noncliff,0.8989965254901608,0.02388578574464917,615.2,5531,6152,2.1888677124125757,0.6610060808009364,0.8912785669445147,0.9063378162656912,CHEMBL214_Ki
knn_weighted,defB_oracle,all,0.8873493975903614,0.023936888466161634,664.0,5892,6640,2.1939739807381415,0.688725282807906,0.8795197024342385,0.8947311631053916,CHEMBL214_Ki
knn_weighted,defB_oracle,cliff,0.6341957449994975,0.09910699948478278,26.2,168,262,2.260606885680313,1.1158157237160888,0.5814873354967,0.6968740620380308,CHEMBL214_Ki
knn_weighted,defB_oracle,noncliff,0.8973282180628528,0.0228909596947089,637.8,5724,6378,2.1913431866218134,0.6653753505447232,0.8897742506477452,0.9046672961557206,CHEMBL214_Ki
knn_weighted,defC_proxy,all,0.8873493975903614,0.023936888466161634,664.0,5892,6640,2.1939739807381415,0.688725282807906,0.8795197024342385,0.8947311631053916,CHEMBL214_Ki
knn_weighted,defC_proxy,cliff,0.7726082251082251,0.16480771515832124,7.9,62,79,2.293474663182101,0.9294344690450002,0.682128319163289,0.8610779526794132,CHEMBL214_Ki
knn_weighted,defC_proxy,noncliff,0.8885827954648235,0.023912119225936748,656.1,5830,6561,2.1929519332380627,0.6850782680516418,0.8807419781649992,0.8959713715761204,CHEMBL214_Ki
cluster,defA,all,0.9071290944123314,0.020688374489698902,519.0,4708,5190,2.4232613120284388,0.7028501623197403,0.8989285781640746,0.9147273706179178,CHEMBL236_Ki
cluster,defA,cliff,0.8432578101985202,0.06101994691607085,54.0,454,540,2.522584887324343,0.9147458331664339,0.8074863029088628,0.8691814906756836,CHEMBL236_Ki
cluster,defA,noncliff,0.9147973171745246,0.019709505283594716,465.0,4254,4650,2.4118906310714223,0.6731849785074348,0.9064696928912814,0.9225228789737763,CHEMBL236_Ki
cluster,defB_oracle,all,0.9071290944123314,0.020688374489698902,519.0,4708,5190,2.4232613120284388,0.7028501623197403,0.8989285781640746,0.9147273706179178,CHEMBL236_Ki
cluster,defB_oracle,cliff,0.7715824175824176,0.11258046257967497,24.6,188,246,2.5886906644920415,1.0670835102812934,0.7073735492885967,0.812956425622806,CHEMBL236_Ki
cluster,defB_oracle,noncliff,0.9142014319632945,0.018832412431445334,494.4,4520,4944,2.415391969946633,0.6785190567128161,0.9061091020408202,0.9217266388756381,CHEMBL236_Ki
