dataset,seed,method,n_test,n_cliff,cov_all,cov_cliff,cov_noncliff,size_all,size_cliff,size_noncliff,q_global,cov_global_class0,cov_global_class1
Tox21_NR-AR,20324275,mondrian_predclass,1451,6,0.9042039972432805,0.0,0.9079584775086506,0.923501033769814,0.16666666666666666,0.9266435986159169,0.07499999999999996,,
Tox21_NR-AR,20324275,mondrian_nnsim,1451,6,0.9055823569951758,0.16666666666666666,0.9086505190311419,0.9248793935217091,0.3333333333333333,0.9273356401384083,0.07499999999999996,,
Tox21_NR-AR,20332194,global,1451,4,0.9097174362508614,0.0,0.912232204561161,0.9303928325292902,0.5,0.9315825846579129,0.06999999999999995,,
Tox21_NR-AR,20332194,aps,1451,4,1.0,1.0,1.0,1.994486560992419,2.0,1.9944713199723565,0.06999999999999995,0.9424874191229331,0.15
Tox21_NR-AR,20332194,mondrian_predclass,1451,4,0.9097174362508614,0.0,0.912232204561161,0.9303928325292902,0.5,0.9315825846579129,0.06999999999999995,,
Tox21_NR-AR,20332194,mondrian_nnsim,1451,4,0.9042039972432805,0.0,0.9067035245335177,0.9248793935217091,0.5,0.9260539046302695,0.06999999999999995,,
HIV,20260923,global,8224,38,0.8982247081712063,0.02631578947368421,0.9022721720009773,0.91318093385214,0.10526315789473684,0.9169313462008307,0.050000000000000044,,
HIV,20260923,aps,8224,38,0.9998784046692607,0.9736842105263158,1.0,1.9990272373540856,1.9736842105263157,1.9991448815050086,0.050000000000000044,0.9320363820111167,0.02922077922077922
HIV,20260923,mondrian_predclass,8224,38,0.8982247081712063,0.02631578947368421,0.9022721720009773,0.91318093385214,0.10526315789473684,0.9169313462008307,0.050000000000000044,,
HIV,20260923,mondrian_nnsim,8224,38,0.9005350194552529,0.02631578947368421,0.9045932079159541,0.915612840466926,0.13157894736842105,0.9192523821158075,0.050000000000000044,,
HIV,20268842,global,8224,38,0.9081955252918288,0.05263157894736842,0.9121671145858783,0.919260700389105,0.15789473684210525,0.9227950158807721,0.05500000000000005,,
HIV,20268842,aps,8224,38,1.0,1.0,1.0,1.9998784046692606,2.0,1.9998778402150013,0.05500000000000005,0.9362449799196787,0.03515625
HIV,20268842,mondrian_predclass,8224,38,0.9081955252918288,0.05263157894736842,0.9121671145858783,0.919260700389105,0.15789473684210525,0.9227950158807721,0.05500000000000005,,
HIV,20268842,mondrian_nnsim,8224,38,0.9106274319066148,0.07894736842105263,0.9144881505008551,0.922057392996109,0.23684210526315788,0.9252382115807476,0.05500000000000005,,
HIV,20276761,global,8224,34,0.9142752918287937,0.0,0.918070818070818,0.9276507782101168,0.23529411764705882,0.9305250305250305,0.05500000000000005,,
HIV,20276761,aps,8224,34,1.0,1.0,1.0,1.999635214007782,2.0,1.9996336996336996,0.05500000000000005,0.9469238527483611,0.0273972602739726
HIV,20276761,mondrian_predclass,8224,34,0.9142752918287937,0.0,0.918070818070818,0.9276507782101168,0.23529411764705882,0.9305250305250305,0.05500000000000005,,
HIV,20276761,mondrian_nnsim,8224,34,0.9113570038910506,0.029411764705882353,0.915018315018315,0.9247324902723736,0.29411764705882354,0.9273504273504274,0.05500000000000005,,
HIV,20284680,global,8224,37,0.9044260700389105,0.05405405405405406,0.9082692072798338,0.9162208171206225,0.2702702702702703,0.9191401001587883,0.05500000000000005,,
HIV,20284680,aps,8224,37,1.0,1.0,1.0,1.999635214007782,1.972972972972973,1.999755710272383,0.05500000000000005,0.9369482976040353,0.027210884353741496
HIV,20284680,mondrian_predclass,8224,37,0.9044260700389105,0.05405405405405406,0.9082692072798338,0.9162208171206225,0.2702702702702703,0.9191401001587883,0.05500000000000005,,
HIV,20284680,mondrian_nnsim,8224,37,0.9063715953307393,0.08108108108108109,0.9101013802369611,0.9181663424124513,0.2972972972972973,0.9209722731159155,0.05500000000000005,,
HIV,20292599,global,8224,41,0.9032101167315175,0.024390243902439025,0.9076133447390933,0.9160992217898832,0.1951219512195122,0.9197115972137357,0.050000000000000044,,
HIV,20292599,aps,8224,41,1.0,1.0,1.0,2.0,2.0,2.0,0.050000000000000044,0.9340133484447802,0.038869257950530034
HIV,20292599,mondrian_predclass,8224,41,0.9032101167315175,0.024390243902439025,0.9076133447390933,0.9160992217898832,0.1951219512195122,0.9197115972137357,0.050000000000000044,,
HIV,20292599,mondrian_nnsim,8224,41,0.9064931906614786,0.04878048780487805,0.9107906635708175,0.9196254863813229,0.2682926829268293,0.9228889160454601,0.050000000000000044,,
